applicant_id,age,age_group,gender,nationality,employment_type,employment_tenure_months,monthly_income,monthly_obligations,monthly_spend,existing_credit_exposure,transaction_history_months,num_previous_applications,num_late_payments,requested_amount,defaulted,requires_bureau_check,max_eligible_credit
APP-000065,23,18-25,male,emirati,salaried,0,3000.0,150.23,2064.34,3084.67,45,5,0,2508.29,0,True,9000.0
APP-000066,27,26-35,male,south_asian,salaried,24,5953.94,705.62,4723.06,13898.07,46,2,1,8641.32,0,True,17861.82
APP-000067,58,46-60,male,south_asian,salaried,162,7996.34,2394.43,4248.9,63762.45,38,0,0,16291.41,0,True,20000.0
APP-000068,59,46-60,male,southeast_asian,salaried,190,12319.06,2898.86,5937.16,108817.71,18,2,0,1521.13,0,True,20000.0
APP-000069,58,46-60,male,emirati,salaried,168,20597.39,8050.2,7635.74,164985.82,46,5,0,3014.56,0,True,20000.0
APP-000070,63,46-60,female,south_asian,salaried,202,23458.14,5813.89,12003.6,121247.76,17,1,0,7163.78,0,True,20000.0
APP-000071,49,46-60,male,other,salaried,123,10716.74,2366.82,6526.66,66075.44,7,1,0,15536.41,0,True,20000.0
APP-000072,28,26-35,female,emirati,salaried,22,12832.65,905.86,5094.67,27492.13,27,3,0,5994.55,0,True,20000.0
APP-000073,42,36-45,male,south_asian,salaried,101,6279.74,1806.16,3294.73,45877.52,39,0,0,4572.0,0,True,18839.22
APP-000074,46,46-60,female,western,salaried,105,13908.38,2418.92,6504.19,34787.65,1,3,0,3206.46,0,True,20000.0
APP-000075,63,46-60,male,southeast_asian,freelancer,205,12793.37,733.99,4239.77,25763.51,23,4,3,11713.43,1,True,20000.0
APP-000076,63,46-60,male,south_asian,salaried,197,10140.09,2008.54,6264.91,79199.11,12,0,0,1817.41,0,True,20000.0
APP-000077,33,26-35,female,southeast_asian,self_employed,51,3000.0,695.04,2117.25,8266.12,37,3,1,872.35,0,True,9000.0
APP-000078,30,26-35,female,south_asian,salaried,20,6300.82,1187.05,4408.5,27430.99,19,3,0,7615.21,0,True,18902.46
APP-000079,29,26-35,male,south_asian,freelancer,12,8355.07,1622.43,2841.01,48393.16,14,4,0,3749.57,0,True,20000.0
APP-000080,46,46-60,male,emirati,self_employed,89,13156.57,3441.28,4175.89,41353.86,37,2,0,19014.61,1,True,20000.0
APP-000081,20,18-25,male,southeast_asian,freelancer,0,9525.29,1786.28,6361.35,44605.77,18,4,2,14228.74,1,True,20000.0
APP-000082,31,26-35,female,south_asian,freelancer,37,12577.02,418.74,5957.89,5003.18,26,2,0,14380.28,0,True,20000.0
APP-000083,62,46-60,male,arab_expat,salaried,197,5298.2,1581.77,4237.49,49930.29,25,3,0,1635.36,0,True,15894.599999999999
APP-000084,38,36-45,male,south_asian,salaried,63,14439.6,1345.38,4731.95,18465.12,7,1,0,18727.39,0,True,20000.0
APP-000085,32,26-35,male,western,self_employed,53,16563.71,1100.2,6365.73,42080.68,7,5,0,18089.02,0,True,20000.0
APP-000086,39,36-45,female,south_asian,self_employed,85,9144.25,2144.4,5020.37,61790.72,13,2,0,16191.42,0,True,20000.0
APP-000087,61,46-60,male,south_asian,salaried,193,7972.47,742.24,3768.47,16300.7,36,4,0,6722.76,0,True,20000.0
APP-000088,47,46-60,male,south_asian,salaried,147,16049.37,3904.63,6093.48,155713.06,22,2,0,2255.96,0,True,20000.0
APP-000089,43,36-45,male,other,salaried,98,7749.11,1650.64,3994.39,60204.9,34,3,0,8311.34,0,True,20000.0
APP-000090,54,46-60,male,south_asian,salaried,143,11304.92,3411.68,5500.96,135114.91,26,2,0,4381.63,0,True,20000.0
APP-000091,50,46-60,male,emirati,salaried,129,10783.22,977.09,5970.21,24712.0,23,4,0,16407.1,0,True,20000.0
APP-000092,41,36-45,male,emirati,salaried,82,22767.55,3936.83,13415.49,66242.27,2,3,0,12765.99,0,True,20000.0
APP-000093,57,46-60,female,south_asian,self_employed,168,10875.65,1838.47,5991.5,52110.22,22,5,0,14262.62,0,True,20000.0
APP-000094,51,46-60,male,south_asian,salaried,128,6554.31,1569.93,3965.61,24754.54,11,4,0,18541.62,0,True,19662.93
APP-000095,37,36-45,female,southeast_asian,salaried,58,20959.26,4851.91,15675.02,105946.18,16,1,0,6108.79,0,True,20000.0
APP-000096,63,46-60,male,western,salaried,196,25108.64,7258.64,10536.62,83641.04,43,1,0,1523.58,0,True,20000.0
APP-000097,44,36-45,male,south_asian,salaried,125,24232.02,2994.97,10727.7,35265.41,36,5,0,10935.47,0,True,20000.0
APP-000098,64,46-60,female,emirati,freelancer,181,3000.0,91.29,1402.56,2157.23,30,4,0,8477.76,0,True,9000.0
APP-000099,50,46-60,male,south_asian,salaried,141,6199.37,1480.73,2403.79,52838.95,43,3,0,2069.79,0,True,18598.11
APP-000100,60,46-60,male,other,salaried,183,8482.51,847.62,3654.07,17619.11,11,5,2,3614.48,0,True,20000.0
APP-000101,61,46-60,male,western,salaried,184,29010.76,8600.84,19549.41,242304.31,19,4,0,15268.34,0,True,20000.0
APP-000102,60,46-60,female,arab_expat,salaried,164,11136.78,2437.68,8368.67,39160.61,25,1,0,10646.66,0,True,20000.0
APP-000103,25,18-25,female,southeast_asian,salaried,24,6636.72,1493.74,2835.4,15072.53,10,0,2,14094.58,0,True,19910.16
APP-000104,52,46-60,female,western,salaried,146,10528.04,2485.83,8384.83,53381.68,41,3,0,13813.24,0,True,20000.0
APP-000105,60,46-60,female,south_asian,self_employed,210,7428.51,1991.66,3803.87,42578.29,11,3,0,5875.17,0,True,20000.0
APP-000106,64,46-60,female,emirati,salaried,180,17849.49,921.86,13139.12,15986.92,2,3,0,4736.75,0,True,20000.0
APP-000107,21,18-25,male,other,salaried,13,11505.62,3770.92,5034.59,100689.38,28,5,0,12706.87,0,True,20000.0
APP-000108,45,36-45,male,emirati,salaried,103,8803.58,1831.03,3701.77,30688.68,41,1,0,18337.45,0,True,20000.0
APP-000109,53,46-60,male,south_asian,salaried,141,6970.95,1060.12,2270.91,22596.5,29,0,0,4169.18,0,True,20000.0
APP-000110,55,46-60,female,south_asian,salaried,165,8189.22,1241.13,4641.86,25787.93,12,4,0,9587.08,0,True,20000.0
APP-000111,64,46-60,male,arab_expat,freelancer,193,11441.58,952.66,5319.56,20382.34,40,3,0,18897.56,0,True,20000.0
APP-000112,39,36-45,male,arab_expat,freelancer,72,3000.0,484.24,988.1,5333.76,40,5,1,4005.33,0,True,9000.0
APP-000113,58,46-60,male,southeast_asian,salaried,161,15158.7,3169.01,8728.71,32816.78,25,2,0,6090.43,0,True,20000.0
APP-000114,50,46-60,female,southeast_asian,self_employed,139,5392.34,850.52,4287.54,14268.08,32,0,0,13954.32,0,True,16177.02
APP-000115,20,18-25,male,south_asian,salaried,1,3296.27,472.7,1146.05,12216.83,2,1,0,6999.76,0,True,9888.81
APP-000116,54,46-60,male,emirati,salaried,176,11270.68,3149.08,4296.67,54208.79,40,3,0,11040.97,0,True,20000.0
APP-000117,42,36-45,female,south_asian,unemployed,0,4922.969982307989,124.64,3369.79,4816.81,19,2,2,11680.38,0,True,14768.909946923966
APP-000118,46,46-60,male,south_asian,freelancer,98,10098.11,1701.27,3808.1,53335.35,30,5,0,7533.65,0,True,20000.0
APP-000119,23,18-25,male,south_asian,salaried,4,3615.71,1306.6,1252.96,36508.12,15,3,2,4512.61,1,True,10847.130000000001
APP-000120,23,18-25,female,south_asian,unemployed,0,4055.9479753836695,444.11,1555.88,8117.82,14,0,0,11517.04,0,True,12167.843926151008
APP-000121,64,46-60,male,southeast_asian,salaried,209,21039.95,5077.0,14890.77,181681.73,46,1,0,12262.62,0,True,20000.0
APP-000122,62,46-60,male,south_asian,freelancer,201,12499.91,2707.67,6205.8,36327.82,27,4,0,4008.58,0,True,20000.0
APP-000123,53,46-60,male,arab_expat,freelancer,154,12954.52,2359.78,6328.22,55388.76,28,4,0,10378.95,0,True,20000.0
APP-000124,62,46-60,male,emirati,freelancer,185,32550.24,1692.35,19736.48,45518.48,30,5,0,15177.31,0,True,20000.0
APP-000125,45,36-45,male,emirati,salaried,110,10383.54,1170.4,3897.7,46735.34,23,2,0,19253.69,0,True,20000.0
APP-000126,25,18-25,female,arab_expat,salaried,2,8377.87,530.74,2700.54,16624.57,1,2,0,13704.22,0,True,20000.0
APP-000127,28,26-35,female,arab_expat,salaried,18,7038.24,2494.88,3503.57,80139.66,42,3,0,8082.3,0,True,20000.0
APP-000128,63,46-60,male,south_asian,salaried,201,16397.74,3598.8,8932.54,140272.2,15,3,0,11946.59,0,True,20000.0
APP-000129,40,36-45,male,south_asian,salaried,76,18553.3,5246.13,9029.02,74708.86,18,4,2,8749.26,0,True,20000.0
APP-000130,49,46-60,male,southeast_asian,salaried,144,10404.18,2491.77,3171.11,35124.09,39,4,0,10151.91,0,True,20000.0
APP-000131,61,46-60,male,southeast_asian,salaried,194,15569.74,663.33,9074.44,22006.92,23,4,0,2727.03,0,True,20000.0
APP-000132,52,46-60,female,south_asian,self_employed,162,12180.68,1697.36,8378.06,29039.08,38,4,0,17290.45,0,True,20000.0
APP-000133,57,46-60,male,south_asian,salaried,170,4190.43,576.29,1863.34,10384.91,41,5,0,2136.73,0,True,12571.29
APP-000134,44,36-45,female,other,self_employed,122,3318.33,870.47,1953.54,15722.01,19,3,1,4308.95,1,True,9954.99
APP-000135,65,46-60,male,western,salaried,216,38488.41,7070.29,21831.1,116906.52,20,1,0,6795.87,0,True,20000.0
APP-000136,36,36-45,male,southeast_asian,salaried,56,9872.05,627.12,7195.0,14573.38,0,3,0,13927.54,0,True,20000.0
APP-000137,26,26-35,female,south_asian,self_employed,22,5543.03,2028.85,3675.0,66256.08,20,0,0,517.52,0,True,16629.09
APP-000138,48,46-60,male,southeast_asian,salaried,123,8771.59,2845.67,3023.26,97261.32,4,2,0,3174.02,0,True,20000.0
APP-000139,26,26-35,male,southeast_asian,salaried,4,4755.86,481.94,3558.79,6843.74,5,5,0,13761.6,0,True,14267.579999999998
APP-000140,38,36-45,female,south_asian,salaried,76,8912.7,3357.36,3514.48,73031.08,31,1,0,2698.5,0,True,20000.0
APP-000141,49,46-60,male,emirati,self_employed,140,7740.92,1469.67,2604.79,40593.62,0,1,1,18999.26,0,True,20000.0
APP-000142,43,36-45,male,southeast_asian,salaried,84,3205.26,782.69,1287.23,26800.72,25,3,0,7457.38,0,True,9615.78
APP-000143,59,46-60,female,emirati,salaried,174,9311.4,1488.88,3349.51,46508.17,33,1,0,7260.75,0,True,20000.0
APP-000144,51,46-60,female,arab_expat,salaried,153,16261.76,694.05,8579.69,14438.82,23,4,0,3567.54,0,True,20000.0
APP-000145,24,18-25,female,southeast_asian,salaried,9,3886.38,981.32,1648.34,36775.6,15,0,0,1832.41,0,True,11659.14
APP-000146,61,46-60,female,south_asian,self_employed,216,3676.47,504.8,1117.59,8086.96,27,2,0,3054.27,0,True,11029.41
APP-000147,41,36-45,male,south_asian,self_employed,99,9246.87,173.39,6655.78,6296.82,45,0,0,7837.36,0,True,20000.0
APP-000148,65,46-60,female,emirati,salaried,207,13394.06,4959.76,6512.81,194604.34,4,0,0,12925.71,0,True,20000.0
APP-000149,43,36-45,male,south_asian,salaried,109,4526.5,1055.13,1973.45,12915.45,9,4,1,2649.94,0,True,13579.5
APP-000150,47,46-60,male,south_asian,salaried,121,6525.47,477.78,3926.06,7859.78,41,1,1,18973.6,0,True,19576.41
APP-000151,43,36-45,male,southeast_asian,salaried,103,6770.65,1791.42,2504.44,18556.8,39,1,2,7758.68,1,True,20000.0
APP-000152,58,46-60,female,emirati,salaried,176,23163.51,996.89,11381.73,22729.01,16,1,0,9197.22,0,True,20000.0
APP-000153,27,26-35,male,southeast_asian,salaried,20,8566.06,1383.28,4821.9,40008.1,38,0,0,15747.36,0,True,20000.0
APP-000154,40,36-45,male,arab_expat,salaried,76,8982.03,2844.47,3739.95,42066.14,11,1,0,16417.56,0,True,20000.0
APP-000155,65,46-60,male,other,salaried,218,4158.08,681.41,1306.07,21135.17,45,4,1,10518.81,0,True,12474.24
APP-000156,49,46-60,male,south_asian,salaried,144,3270.18,279.2,1271.22,9513.11,41,0,3,7061.1,1,True,9810.539999999999
APP-000157,27,26-35,female,arab_expat,self_employed,35,17199.01,1787.14,13318.0,60325.4,46,5,0,14290.07,0,True,20000.0
APP-000158,53,46-60,female,western,self_employed,151,9757.1,1830.09,7555.4,39800.88,47,4,3,6705.23,1,True,20000.0
APP-000159,57,46-60,male,south_asian,freelancer,180,29805.06,6041.37,12766.37,79994.01,0,3,0,8683.24,0,True,20000.0
APP-000160,28,26-35,female,south_asian,salaried,23,5550.05,1656.5,4012.03,31220.48,15,0,1,14840.22,0,True,16650.15
APP-000161,28,26-35,female,south_asian,self_employed,42,8127.44,419.44,3076.66,5468.55,9,1,0,11305.19,0,True,20000.0
APP-000162,64,46-60,male,southeast_asian,salaried,211,11646.76,560.57,4058.82,9086.05,30,0,0,2752.42,0,True,20000.0
APP-000163,43,36-45,male,western,salaried,93,9806.83,987.04,3683.11,30493.74,4,5,0,11058.26,0,True,20000.0
APP-000164,55,46-60,male,emirati,salaried,127,11617.69,1267.21,6804.98,50032.8,7,3,0,19695.18,0,True,20000.0
APP-000165,31,26-35,female,south_asian,salaried,55,10303.79,4861.39,5138.27,96176.79,13,3,0,741.09,0,True,20000.0
APP-000166,62,46-60,male,south_asian,salaried,186,12256.62,2835.51,5784.32,63307.58,18,3,0,9724.41,0,True,20000.0
APP-000167,29,26-35,male,south_asian,salaried,32,11809.91,585.37,3662.45,20207.9,14,2,0,17235.58,0,True,20000.0
APP-000168,61,46-60,male,arab_expat,salaried,200,16670.86,3493.07,11869.4,112575.86,36,2,0,10547.76,0,True,20000.0
APP-000169,28,26-35,male,southeast_asian,salaried,31,8826.81,554.76,4696.83,12153.83,44,5,2,10031.34,0,True,20000.0
APP-000170,46,46-60,male,western,salaried,110,20738.05,2707.11,15108.82,79646.96,32,2,0,10508.98,0,True,20000.0
APP-000171,61,46-60,male,western,salaried,185,4273.71,435.67,2086.59,8914.36,12,3,0,6914.85,0,True,12821.130000000001
APP-000172,57,46-60,male,emirati,salaried,155,7297.4,2236.37,5795.45,65341.91,41,2,0,19067.66,0,True,20000.0
APP-000173,59,46-60,male,south_asian,self_employed,195,18349.46,3299.16,14656.35,58668.26,20,3,0,11868.96,0,True,20000.0
APP-000174,54,46-60,female,south_asian,salaried,146,5531.78,1083.96,3203.59,20393.1,22,5,0,13510.57,0,True,16595.34
APP-000175,29,26-35,female,western,salaried,35,23509.91,6892.52,14510.28,188919.79,29,3,0,10259.31,0,True,20000.0
APP-000176,61,46-60,male,south_asian,salaried,191,4999.39,996.47,3288.77,33250.45,23,5,0,5043.93,0,True,14998.170000000002
APP-000177,21,18-25,male,south_asian,self_employed,9,6194.89,295.7,4848.52,6357.4,1,1,0,17681.68,0,True,18584.670000000002
APP-000178,38,36-45,female,south_asian,salaried,96,5225.47,883.46,2700.69,27036.88,6,3,0,3359.63,0,True,15676.41
APP-000179,43,36-45,male,south_asian,unemployed,0,3513.900663755493,160.61,2179.18,5322.21,29,4,0,7147.3,0,True,10541.70199126648
APP-000180,59,46-60,female,emirati,salaried,171,4485.83,1250.98,1572.24,32036.69,29,5,1,7128.85,0,True,13457.49
APP-000181,57,46-60,male,emirati,salaried,170,6315.57,737.16,3462.05,11964.71,44,2,0,735.18,0,True,18946.71
APP-000182,23,18-25,female,arab_expat,salaried,7,8464.07,735.32,3792.0,17594.97,4,1,0,17118.85,0,True,20000.0
APP-000183,41,36-45,female,south_asian,salaried,107,7939.18,926.96,2750.73,31932.78,8,3,0,9402.5,0,True,20000.0
APP-000184,42,36-45,female,south_asian,salaried,101,6219.76,691.93,4548.44,25185.22,34,1,0,9363.96,0,True,18659.28
APP-000185,44,36-45,male,emirati,salaried,129,8952.08,1075.83,5009.13,32971.23,29,3,0,5347.25,0,True,20000.0
APP-000186,40,36-45,female,southeast_asian,salaried,98,9114.24,2132.12,4195.44,42486.43,13,4,0,13044.69,0,True,20000.0
APP-000187,43,36-45,female,emirati,salaried,96,8084.28,512.74,5763.72,17306.77,46,5,0,10412.59,0,True,20000.0
APP-000188,31,26-35,female,south_asian,salaried,53,11019.16,2439.85,5799.01,31530.45,31,0,0,16682.74,0,True,20000.0
APP-000189,36,36-45,male,south_asian,salaried,78,23468.43,4805.41,17040.36,79133.98,39,1,0,2601.43,0,True,20000.0
APP-000190,44,36-45,male,southeast_asian,salaried,123,7282.28,3111.27,4199.06,71510.4,28,4,0,18248.54,0,True,20000.0
APP-000191,62,46-60,male,arab_expat,salaried,179,23312.02,1691.64,10182.64,65818.0,46,3,0,3194.51,0,True,20000.0
APP-000192,56,46-60,female,arab_expat,salaried,156,12495.72,2990.54,9879.96,88228.68,45,4,0,12919.11,0,True,20000.0
APP-000193,63,46-60,male,south_asian,salaried,180,6016.9,1843.62,2242.28,55507.02,9,1,0,12493.98,0,True,18050.699999999997
APP-000194,27,26-35,female,southeast_asian,salaried,24,11616.01,2717.94,6744.67,46552.51,37,5,0,13457.62,0,True,20000.0
APP-000195,42,36-45,male,other,freelancer,90,14277.71,3044.4,8906.67,99409.5,26,4,0,14635.83,1,True,20000.0
APP-000196,30,26-35,male,south_asian,salaried,41,6632.53,1550.34,2835.46,30877.94,34,1,2,12078.04,1,True,19897.59
APP-000197,58,46-60,male,southeast_asian,salaried,162,16170.66,3059.14,8214.14,79877.44,4,1,0,13435.02,0,True,20000.0
APP-000198,39,36-45,male,south_asian,self_employed,41,3609.3,869.48,2788.16,18760.14,25,2,3,8990.66,1,True,10827.900000000001
APP-000199,41,36-45,male,south_asian,salaried,86,5299.16,215.7,3250.86,3520.97,30,1,0,7031.76,0,True,15897.48
APP-000200,24,18-25,male,arab_expat,self_employed,8,10219.13,718.94,7263.86,26837.74,19,3,0,8943.99,0,True,20000.0
APP-000201,19,18-25,male,emirati,salaried,0,14158.77,2012.07,6240.6,76057.71,18,5,1,10902.62,0,True,20000.0
APP-000202,26,26-35,female,arab_expat,self_employed,14,9168.53,2254.52,6078.45,36866.16,43,4,1,4805.37,0,True,20000.0
APP-000203,34,26-35,male,south_asian,self_employed,71,5933.22,1187.32,3225.27,23657.98,6,5,0,5432.78,0,True,17799.66
APP-000204,22,18-25,female,south_asian,salaried,0,7913.11,1149.64,3347.94,19136.64,35,3,0,7509.98,0,True,20000.0
APP-000205,61,46-60,female,western,salaried,180,16854.25,3315.68,12525.54,40762.54,3,0,0,12816.72,0,True,20000.0
APP-000206,55,46-60,male,arab_expat,salaried,167,25421.4,6108.93,15120.66,218179.97,6,4,0,8237.31,0,True,20000.0
APP-000207,50,46-60,male,south_asian,freelancer,152,11466.65,845.53,4278.2,27023.25,45,0,0,10009.02,0,True,20000.0
APP-000208,22,18-25,male,south_asian,salaried,0,3000.0,793.86,1767.95,21517.42,18,3,0,6053.36,0,True,9000.0
APP-000209,22,18-25,male,south_asian,freelancer,0,13554.5,2251.65,5188.7,27723.77,30,1,0,3568.47,0,True,20000.0
APP-000210,56,46-60,female,emirati,salaried,170,10156.41,2095.96,3865.17,60544.35,1,4,1,5536.06,0,True,20000.0
APP-000211,29,26-35,male,south_asian,freelancer,17,24101.24,4985.99,12180.37,71206.74,27,1,0,10460.7,0,True,20000.0
